"","Day","Type","MeanMin","MeanMax","MeanRange","MeanMean"
"1",15,"Air",9.89543759512938,14.4245368421053,4.52909924697589,11.4374355354724
"2",15,"Soil",9.72318493150685,16.3200070175439,6.59682208603701,11.8991812036983
"3",16,"Air",8.45024912280702,25.6821333333333,17.2318842105263,15.620654486065
"4",16,"Soil",7.22398245614035,26.9032175438596,19.6792350877193,15.9659461290238
"5",17,"Air",9.58612633181126,25.6611222222222,16.074995890411,16.372729223406
"6",17,"Soil",7.19526315789474,30.0570526315789,22.8617894736842,17.3632620137351
"7",18,"Air",9.24315789473684,20.6997543859649,11.4565964912281,13.3145580275842
"8",18,"Soil",9.1578,24.2910807017544,15.1332807017544,14.3466588240728
"9",19,"Air",9.14125570776256,24.0274105263158,14.8861548185532,14.3596148734779
"10",19,"Soil",9.21180365296804,27.7804140350877,18.5686103821197,15.681603212035
"11",20,"Air",10.7927888888889,28.9068140350877,18.1140251461988,19.1684621228384
"12",20,"Soil",10.4408777777778,31.2258333333333,20.7849555555556,20.007376940107
"13",21,"Air",12.1914771929825,31.3360444444444,19.144567251462,22.7666500323774
"14",21,"Soil",11.5289087719298,34.4042807017544,22.8753719298246,22.272137748004
"15",22,"Air",10.44489185292,23.0184701754386,12.5735783225186,14.3941002986043
"16",22,"Soil",10.7004361932228,22.6403555555556,11.9399193623328,15.1148028447788
"17",23,"Air",9.68793333333333,21.268449122807,11.5805157894737,13.3003753231061
"18",23,"Soil",9.94738947368421,23.2675111111111,13.3201216374269,14.1646018812251
"19",24,"Air",9.87053333333333,25.1095962509012,15.2390629175679,16.7074557988324
"20",24,"Soil",10.1679192982456,29.6802035087719,19.5122842105263,17.8080380690442
"21",25,"Air",14.5317460881935,35.1094555555556,20.5777094673621,24.3496289427585
"22",25,"Soil",12.6072439544808,35.2648333333333,22.6575893788525,23.5819603597018
"23",26,"Air",20.2762842105263,36.3253172314348,16.0490330209084,27.7363774880504
"24",26,"Soil",15.8258807017544,38.8400561403509,23.0141754385965,26.2030096121897
"25",27,"Air",23.8581192982456,41.8508807017544,17.9927614035088,33.7258064327485
"26",27,"Soil",21.3097754385965,42.6895964912281,21.3798210526316,31.5614348196881
"27",28,"Air",13.9388888888889,38.3482444444444,24.4093555555556,27.700448122627
"28",28,"Soil",14.6116666666667,41.2765,26.6648333333333,28.2747881036949
"29",29,"Air",12.8534701754386,21.3307087719298,8.47723859649123,15.94464042237
"30",29,"Soil",13.2172070175439,23.5268912280702,10.3096842105263,17.1826659086284
"31",30,"Air",12.6759459459459,16.9422494592646,4.26630351331865,13.9913783112105
"32",30,"Soil",13.055457957958,18.924956741168,5.86949878321003,14.8220394050345
