day,location,Type,MeanMM,MinMM,MaxMM,RangeMM
14,ridge,Air,13.53544049382716,10.234133333333334,18.248933333333333,8.0148
15,ridge,Air,11.453890320457443,9.816986301369864,14.7096,4.892613698630136
16,ridge,Air,15.709142792792793,8.607866666666666,25.764266666666668,17.1564
17,ridge,Air,15.731466000418227,9.777808219178082,23.9628,14.18499178082192
18,ridge,Air,12.992037595129377,9.19,19.922666666666668,10.732666666666669
19,ridge,Air,13.958674191400304,9.079178082191781,22.5764,13.497221917808218
20,ridge,Air,19.25703023982887,10.799466666666667,29.025733333333335,18.226266666666668
21,ridge,Air,22.051515220700153,12.144533333333333,29.653200000000002,17.50866666666667
22,ridge,Air,13.961466922744663,10.314520547945206,20.787466666666667,10.472946118721461
23,ridge,Air,12.932765753424658,9.605866666666667,20.554266666666667,10.9484
24,ridge,Air,16.355543907606236,9.7944,24.092876712328767,14.298476712328767
25,ridge,Air,24.794759834834835,14.907702702702704,35.14613333333333,20.238430630630628
26,ridge,Air,27.68714581430746,20.6452,36.382739726027395,15.737539726027396
27,ridge,Air,34.00341111111111,23.964133333333333,43.483866666666664,19.51973333333333
28,ridge,Air,29.10116062147223,14.76,37.514266666666664,22.754266666666666
29,ridge,Air,16.8740652014652,13.257466666666666,22.767733333333332,9.510266666666666
30,ridge,Air,13.84598883489654,12.621891891891892,16.513972602739727,3.8920807108478357
14,slope,Air,13.321762360446572,10.269473684210526,16.68263157894737,6.413157894736843
15,slope,Air,11.42098075048733,9.973888888888888,14.139473684210527,4.165584795321639
16,slope,Air,15.532166179337231,8.292631578947368,25.6,17.307368421052633
17,slope,Air,17.01399244639376,9.394444444444444,27.359444444444446,17.965000000000003
18,slope,Air,13.637078460038987,9.296315789473685,21.47684210526316,12.180526315789475
19,slope,Air,14.760555555555555,9.203333333333333,25.478421052631578,16.275087719298245
20,slope,Air,19.079894005847954,10.786111111111111,28.787894736842105,18.001783625730994
21,slope,Air,23.48178484405458,12.23842105263158,33.01888888888889,20.78046783625731
22,slope,Air,14.826733674463938,10.575263157894737,25.249473684210525,14.674210526315788
23,slope,Air,13.667984892787524,9.77,21.98263157894737,12.21263157894737
24,slope,Air,17.05936769005848,9.946666666666667,26.126315789473683,16.179649122807014
25,slope,Air,23.90449805068226,14.15578947368421,35.07277777777778,20.91698830409357
26,slope,Air,27.785609161793374,19.90736842105263,36.26789473684211,16.36052631578948
27,slope,Air,33.44820175438596,23.752105263157894,40.217894736842105,16.46578947368421
28,slope,Air,26.29973562378168,13.117777777777778,39.18222222222222,26.064444444444444
29,slope,Air,15.015215643274853,12.449473684210526,19.893684210526317,7.444210526315791
30,slope,Air,14.136767787524366,12.73,17.370526315789473,4.640526315789472
14,ridge,Soil,14.498696296296297,10.282,20.802133333333334,10.520133333333334
15,ridge,Soil,11.856287602328356,9.7013698630137,16.711066666666667,7.009696803652968
16,ridge,Soil,16.034024324324324,7.3053333333333335,26.099066666666666,18.793733333333332
17,ridge,Soil,16.823191912460405,7.86,26.162,18.302
18,ridge,Soil,14.103457755358098,9.108933333333333,23.274266666666666,14.165333333333333
19,ridge,Soil,15.339260273972602,9.18027397260274,25.892933333333332,16.71265936073059
20,ridge,Soil,20.097274591715003,10.5512,30.72,20.168799999999997
21,ridge,Soil,22.115245281582954,11.014133333333334,32.07066666666667,21.056533333333334
22,ridge,Soil,15.259186586243779,10.558767123287671,23.632933333333334,13.074166210045663
23,ridge,Soil,14.275531735159818,9.9232,23.776133333333334,13.852933333333334
24,ridge,Soil,17.557717219959684,10.133733333333334,26.760933333333334,16.627200000000002
25,ridge,Soil,24.112141966966966,13.49554054054054,34.111333333333334,20.615792792792796
26,ridge,Soil,27.090140813073347,17.013866666666665,36.64853333333333,19.634666666666668
27,ridge,Soil,32.88758333333333,22.285866666666667,40.608666666666664,18.322799999999997
28,ridge,Soil,29.751289170352763,15.48,39.781333333333336,24.301333333333336
29,ridge,Soil,17.949753113553115,13.345466666666667,23.117466666666665,9.771999999999998
30,ridge,Soil,14.503373400712356,12.742027027027026,19.067808219178083,6.325781192151057
14,slope,Soil,14.800252525252526,10.286842105263158,19.324736842105263,9.037894736842105
15,slope,Soil,11.942074805068227,9.745000000000001,15.928947368421053,6.183947368421052
16,slope,Soil,15.897867933723196,7.142631578947369,27.70736842105263,20.564736842105262
17,slope,Soil,17.903332115009746,6.530526315789474,33.9521052631579,27.421578947368424
18,slope,Soil,14.589859892787524,9.206666666666667,25.307894736842105,16.101228070175438
19,slope,Soil,16.023946150097466,9.243333333333334,29.667894736842104,20.42456140350877
20,slope,Soil,19.917479288499024,10.330555555555556,31.731666666666666,21.40111111111111
21,slope,Soil,22.42903021442495,12.043684210526315,36.73789473684211,24.694210526315793
22,slope,Soil,14.97041910331384,10.842105263157896,21.64777777777778,10.805672514619884
23,slope,Soil,14.053672027290448,9.971578947368421,22.75888888888889,12.78730994152047
24,slope,Soil,18.058358918128654,10.202105263157895,32.59947368421053,22.397368421052633
25,slope,Soil,23.051778752436647,11.718947368421054,36.41833333333334,24.69938596491228
26,slope,Soil,25.315878411306045,14.637894736842107,41.03157894736842,26.393684210526317
27,slope,Soil,30.235286306042884,20.333684210526314,44.770526315789475,24.43684210526316
28,slope,Soil,26.79828703703704,13.743333333333334,42.77166666666667,29.028333333333336
29,slope,Soil,16.415578703703705,13.088947368421053,23.936315789473685,10.847368421052632
30,slope,Soil,15.140705409356725,13.36888888888889,18.782105263157895,5.413216374269005
